slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026,score_q3_2026,soc_code,tier,sub_task_automation,sub_tool_maturity,sub_adoption,sub_agentic_exposure,agentic_risk
brand-manager,Brand Manager,Marketing & Sales,28,Low,70000,130000,stable,3,3,AI Brand Analytics & Tracking Tools,Brand Positioning & Portfolio Strategy,Creative Direction & Packaging Strategy,"AI now handles the competitive tracking and documentation that used to eat a brand manager's week. The job increasingly is positioning strategy and creative judgment, which is exactly what AI can't originate.",,,,,28,11-2021,2,30,75,58,36,Moderate
retail-salesperson,Retail Salesperson,Marketing & Sales,19,Low,25000,48000,stable,4,3,AI Clienteling & POS Recommendation Tools,Personalized Styling & Consultative Selling,In-Store Experience & Loyalty Building,"Self-checkout and inventory tools automate the paperwork, but the floor interaction that actually closes a sale is still an in-person, physical job AI doesn't reach yet.",,,,,19,41-2031,1,24,50,42,18,Low
product-demonstrator,Product Demonstrator,Marketing & Sales,11,Low,24000,42000,stable,3,3,AI-Assisted Pitch Script Drafting,Live Demonstration & Audience Engagement,Event Brand Experience Delivery,"This is one of the most physically-grounded, in-person roles in marketing, and it stays that way: AI can write the script, but it can't stand at the sample table and make the pitch.",,,,,11,41-9011,2,16,40,22,8,Low
data-entry-clerk,Data Entry Clerk,Administrative & Operations,92,Very High,28000,42000,declining,5,3,AI Document Intelligence & OCR Pipeline Configuration,Data Quality Auditing & Exception Handling,RPA & Workflow Automation Basics,"Document AI and agentic extraction pipelines now handle the full capture-validate-file loop for structured data, leaving almost no defensible core to this role as historically specified. The realistic path is moving into the exception queue and the pipeline-configuration work that keeps the automation running.",78,82,85,88,92,43-9021,1,90,92,80,85,Very High
administrative-assistant,Administrative Assistant,Administrative & Operations,80,Very High,35000,55000,declining,5,3,"Agentic AI Workflow Orchestration (Copilot, Gemini agents)",Cross-Functional Project Coordination,AI Output Review & Executive Judgment,"Agentic assistants now run the full scheduling-to-inbox-to-expense loop with minimal supervision, which is why routine admin work keeps climbing toward Very High risk. The defensible ground is judgment-heavy coordination — reading a room, managing competing executive priorities, catching what an agent gets subtly wrong — not any single software skill.",62,68,74,78,80,43-6014,1,82,88,75,65,High
call-center-agent,Call Center Agent,Administrative & Operations,73,High,28000,40000,declining,4,3,Complex Call De-escalation & Retention,AI Voice-Agent Supervision & Escalation Handling,CRM & Contact-Center Platform Fluency,"AI voice agents now run the bulk of routine call center volume end-to-end, which is why this role carries the steepest agentic exposure in the category. Agents who move into escalation handling, retention calls, and AI-voice-agent supervision are the ones still needed on the floor.",,,,,73,43-4051,1,74,85,76,66,High
payroll-specialist,Payroll Specialist,Administrative & Operations,73,High,45000,70000,mixed,4,3,HRIS & Payroll System Administration,Multi-State & International Tax Compliance,Compensation Analytics,"Standard payroll runs are now close to fully automated by platforms with built-in compliance engines, pushing this role toward High risk. The remaining ground is genuinely hard compliance — multi-state, cross-border, system-migration work — where a mistake is expensive enough that employers still want a specialist.",58,63,68,72,73,43-3051,1,74,90,75,58,High
receptionist,Receptionist,Administrative & Operations,72,High,28000,42000,declining,4,3,In-Person Customer Experience & Hospitality,Facility Security & Emergency Response,AI Front-Desk Tool Administration,"AI voice attendants and check-in kiosks now handle most routine front-desk traffic, which is why this role sits at High risk. The remaining value is in-person: reading a nervous visitor, handling a security issue, making a VIP feel looked after — things a kiosk can't do.",60,65,70,75,72,43-4171,1,76,82,70,58,High
customer-service-representative,Customer Service Representative,Administrative & Operations,67,High,30000,45000,declining,4,3,De-escalation & Complex Complaint Resolution,AI Chatbot Handoff & Escalation Management,Multi-Product Technical Troubleshooting,"AI chat and voice agents now close a majority of tier-1 tickets without a human touch, which is why routine customer service sits at High risk. The remaining seats go to reps who handle the escalations an agent bounces back — angry customers, ambiguous multi-product problems, and judgment calls the bot won't make.",,,,,67,43-4051,1,68,85,78,62,High
order-clerk,Order Clerk,Administrative & Operations,67,High,33000,46000,declining,4,2,ERP & Order-Management System Administration,Order Discrepancy & Customer Dispute Resolution,Custom Order Configuration Support,"AI order-management systems now take standard orders from intake to confirmation without a human, which is why this role sits at High risk. Clerks handling discrepancies and custom configurations hold the more defensible ground.",,,,,67,43-4151,2,72,78,68,58,High
executive-assistant,Executive Assistant,Administrative & Operations,61,High,55000,95000,stable,5,3,Executive Judgment & Confidential Stakeholder Management,AI-Assisted Briefing & Decision-Prep Tools,Chief-of-Staff Style Operations,"AI now assembles the calendar, drafts the emails, and preps the briefing deck; what it can't do is read a principal's unstated priorities or manage the politics around them. EAs who move toward chief-of-staff-style trusted advising hold their ground better than those who stay purely logistical.",48,53,58,62,61,43-6011,1,66,82,62,52,High
inventory-clerk,Inventory Clerk,Administrative & Operations,59,High,30000,42000,declining,4,2,Warehouse Management System (WMS) Administration,Inventory Discrepancy & Shrinkage Investigation,AI Inventory Vision System Oversight,"Barcode, RFID, and computer-vision counting have automated most routine stock tracking, pushing this role toward High risk.",,,,,59,43-5071,2,68,70,55,45,Moderate
records-clerk,Records Clerk,Administrative & Operations,59,High,32000,45000,declining,4,2,Records & Information Governance,AI Document Classification & Retrieval Systems,Compliance Audits & Legal Hold Management,"AI document-management systems now file, tag, and retrieve most records automatically, pushing this role to High risk. Clerks who move into records compliance and legal-hold work hold a more defensible position than pure filing and retrieval.",,,,,59,43-4071,2,70,68,50,42,Moderate
billing-specialist,Billing Specialist,Administrative & Operations,58,High,38000,55000,mixed,4,2,AI Billing & AR Automation Platforms,Complex Dispute Resolution & Collections,Billing System Integration & Migration,"AI billing platforms now generate invoices and chase routine payments automatically, which pushes this role to High risk. The durable work is disputed charges and negotiated arrangements where a system alone can't close the case.",,,,,58,43-3021,2,62,78,65,52,High
office-clerk,Office Clerk (General),Administrative & Operations,56,High,35000,50000,declining,5,3,"Workflow Automation Oversight (approvals, exceptions)","AI Office-Suite Power Use (Copilot, Gemini for Workspace)",Records Compliance & Data Quality,One of America's largest occupations sits squarely in the path of document AI and office agents; clerks who become the person who runs and audits the automation keep the job.,,,,,56,43-9061,2,62,74,52,60,High
logistics-coordinator,Logistics Coordinator,Administrative & Operations,53,High,42000,70000,stable,4,3,"AI Logistics & TMS Platforms (Project44, FourKites)",Disruption Response & Contingency Planning,Carrier & Vendor Relationship Management,"Tracking, routing, and standard rate comparison are now largely automated by TMS copilots, but real supply chains still break in ways only a person can untangle. Coordinators who specialize in disruption response and carrier relationships are more durable than those doing pure status-update work.",42,46,50,55,53,13-1081,1,58,75,60,48,Moderate
office-manager,Office Manager,Administrative & Operations,53,High,45000,75000,stable,5,3,Operations Management & Process Design,Workplace AI Tool Administration,People Operations & Culture Leadership,"Ordering supplies and tracking a budget are now largely automatable, but running an office still means reading a room and fixing whatever nobody planned for. Office managers who take on real cross-functional operations leadership are outgrowing the role's clerical reputation.",42,46,50,55,53,43-1011,1,58,78,62,48,Moderate
procurement-specialist,Procurement Specialist,Administrative & Operations,52,High,55000,90000,stable,4,3,AI Procurement & Spend-Analysis Platforms,Strategic Sourcing & Contract Negotiation,Supply Chain Risk Management,"AI now handles the transactional half of procurement — POs, catalog pricing, invoice matching — leaving negotiation and supplier risk as the durable core. Specialists who move up into strategic sourcing hold a clearly defensible High-but-not-Very-High position.",45,48,53,58,52,13-1023,1,58,72,58,45,Moderate
mail-clerk,Mail Clerk,Administrative & Operations,50,Moderate,30000,40000,declining,4,2,Mailroom Digitization & Scan-to-Distribute Systems,Secure & Sensitive Document Handling,Facilities & Logistics Support Skills,"Scan-and-distribute systems now handle a growing share of digital mail routing, but someone still has to physically sort packages and hand-deliver sensitive documents. That keeps this role at Moderate risk rather than pushing it higher.",,,,,50,43-9051,2,66,55,38,35,Low
supply-chain-analyst,Supply Chain Analyst,Administrative & Operations,47,Moderate,60000,100000,stable,3,3,AI Supply Chain Forecasting & Optimization Tools,Supply Chain Risk & Resilience Design,Applied Data Science for Operations,"Forecasting and inventory math are now largely AI-generated starting points, but building a network that survives a real disruption still takes an analyst who understands the business, not just the model. That keeps this role Moderate rather than sliding toward High.",38,42,46,50,47,13-1081,1,52,74,58,48,Moderate
facilities-manager,Facilities Manager,Administrative & Operations,36,Moderate,60000,100000,stable,4,3,Smart Building IoT & Predictive Maintenance Platforms,Sustainability & Energy Management,Vendor & Contractor Relationship Management,"AI now triages work orders and flags maintenance needs before a person notices, but someone still has to stand in the mechanical room, manage the contractor, and own the safety call. Facilities managers who add sustainability and smart-building program leadership to core operations are growing in scope, not shrinking.",28,30,32,35,36,11-3013,1,42,65,50,32,Low
operations-manager,Operations Manager,Administrative & Operations,26,Low,70000,145000,stable,3,3,AI-Augmented Operations Dashboards & Analytics,People Leadership & Performance Management,Cross-Functional Strategy & Process Design,"AI now compiles the reports and drafts the schedules an operations manager used to build by hand, but leading a team through an ambiguous, high-stakes day still needs a person in the room. That is why this role stays firmly Low risk even as the reporting work underneath it automates.",,,,,26,11-1021,1,30,62,48,30,Low
warehouse-manager,Warehouse Manager,Administrative & Operations,23,Low,65000,110000,stable,3,3,Warehouse Safety Leadership & Compliance,AI-Augmented WMS Analytics & Forecasting,Frontline Team Management,"AI now handles the scheduling math and throughput reporting, but running a physical floor safely still takes a person who can read the room and react to a forklift breakdown. That keeps this role solidly Low risk.",,,,,23,11-3071,2,28,58,42,28,Low
medical-transcriptionist,Medical Transcriptionist,Healthcare,75,Very High,30000,50000,declining,5,3,Clinical Documentation Improvement (CDI),Health Informatics,Medical Coding Certification,"Ambient AI scribes now draft the majority of clinical notes directly from the patient encounter, collapsing the separate transcription step almost entirely. The remaining career path runs through documentation-quality oversight, not typing.",70,74,78,82,75,31-9094,1,75,92,75,60,High
medical-coder,Medical Coder,Healthcare,57,High,40000,70000,mixed,5,3,Agentic Coding Pipeline Auditing,Clinical Documentation Improvement,Healthcare Compliance & Auditing,"AI coding engines now assign codes for routine single-diagnosis visits with production-grade accuracy, and agentic pipelines are starting to run the full code-verify-submit loop with a human auditing exceptions. Coders who specialize in complex multi-comorbidity cases and own that audit layer stay essential.",48,53,60,65,57,29-2072,1,62,80,55,55,High
pharmacy-technician,Pharmacy Technician,Healthcare,42,Moderate,33000,45000,mixed,4,3,Pharmacy Automation System Oversight,Sterile Compounding Certification,Insurance & Prior-Authorization Specialization,"Robotic dispensing and automated insurance adjudication now run routine fills close to end to end, which is why this is the most exposed role in the healthcare category. Technicians who move into compounding or automation-system oversight have the clearer path forward.",,,,,42,29-2052,2,50,68,48,38,Moderate
pharmacist,Pharmacist,Healthcare,35,Moderate,120000,160000,mixed,4,3,Clinical Pharmacy Specialization,Pharmacogenomics,AI in Drug Development & Safety,"Robotic dispensing and AI interaction-checking now run routine fills close to end to end, with a pharmacist reviewing exceptions. Pharmacists moving into clinical consultation and medication-therapy management are seeing their scope grow, not shrink.",30,33,37,40,35,29-1051,1,40,70,55,35,Low
radiologist,Radiologist,Healthcare,34,Moderate,300000,500000,stable,4,3,AI Imaging Tool Proficiency,Interventional Radiology,AI Validation & Clinical Informatics,"AI now triages and pre-screens most normal-study volume and drafts routine reports, compressing read time on straightforward cases. The complex, ambiguous and interventional work that defines the specialty still sits with the radiologist.",38,40,42,45,34,29-1224,1,36,80,58,38,Moderate
healthcare-administrator,Healthcare Administrator,Healthcare,30,Moderate,70000,130000,stable,4,3,Healthcare AI Implementation & Governance,Health Informatics Certification,Change Management for Digital Health,"Agentic tools now run scheduling, billing triage and standard compliance reports end to end with light oversight, cutting the back-office headcount these functions once required. Administrators who lead AI implementation and own regulatory and quality strategy are taking on more scope, not less.",32,35,38,42,30,11-9111,1,36,60,45,35,Low
lab-technician,Lab Technician,Healthcare,30,Moderate,45000,70000,stable,4,3,Lab Automation System Management,Molecular Diagnostics,Quality Management Systems,"Automated analyzers and AI-based QC flagging now handle the bulk of routine testing volume end to end, but someone still has to load, prep and troubleshoot the physical specimen path. Techs who manage lab automation systems and validate new assays keep growing scope.",35,40,44,48,30,29-2012,1,36,62,46,30,Low
dietitian,Dietitian,Healthcare,26,Low,55000,85000,mixed,3,3,Clinical Nutrition AI Tools,Medical Nutrition Therapy Certification,Behavior-Change Counseling,"Consumer apps now generate meal plans and track macros about as well as a routine consult would, pushing dietitians toward medical nutrition therapy and behavior-change counseling for complex conditions. The generic meal-planning end of the field is the most exposed.",,,,,26,29-1031,2,32,55,38,28,Low
medical-assistant,Medical Assistant,Healthcare,26,Low,35000,50000,mixed,4,3,AI Intake & Scheduling Tools,"Clinical Certification Advancement (CMA, RMA)",Care Coordination & Patient Communication,AI intake and scheduling tools are absorbing a real share of front-desk and documentation work in clinics. Medical assistants who move toward hands-on clinical support and cross-train into higher-scope roles have the clearest path forward.,,,,,26,31-9092,1,32,55,42,28,Low
medical-lab-scientist,Medical Lab Scientist,Healthcare,21,Low,50000,75000,stable,3,3,Lab Automation System Oversight,Molecular Diagnostics & Method Validation,Quality Management Systems,"AI-based result flagging now catches most routine abnormalities automatically, but validating new assays and troubleshooting complex specimens still requires a trained scientist's judgment. Labs are shifting scientists toward automation oversight rather than routine testing.",,,,,21,29-2011,2,26,58,42,22,Low
physician,Physician,Healthcare,20,Low,200000,400000,rising,4,3,Clinical AI Tool Proficiency,AI-Assisted Diagnostics,Health Informatics,"Ambient AI scribes and decision-support tools are cutting real documentation burden, and physicians who pair clinical judgment with these tools are becoming more effective, not less needed. The complex reasoning and procedures at the core of the job stay out of reach for now.",10,12,13,15,20,29-1229,1,24,62,48,20,Low
nurse-practitioner,Nurse Practitioner,Healthcare,18,Low,105000,150000,rising,4,3,Ambient Clinical Documentation Tools,Advanced Practice Specialty Certification,AI-Assisted Diagnostics,"Ambient scribing is cutting real documentation time for NPs the same way it is for physicians, and NPs are increasingly filling the primary-care access gap AI can't close. Scope-of-practice expansion is a bigger factor than AI displacement here.",,,,,18,29-1171,1,22,60,45,18,Low
optometrist,Optometrist,Healthcare,18,Low,110000,170000,stable,3,3,AI Retinal Screening Tools,Ocular Disease Management Certification,Specialty Contact Lens Fitting,"Autonomous AI systems already screen for diabetic retinopathy at close to specialist accuracy, and autorefractors handle routine prescriptions. Optometrists managing eye disease and complex fittings hold the ground AI hasn't reached.",,,,,18,29-1041,2,22,58,35,20,Low
medical-sonographer,Medical Sonographer,Healthcare,16,Low,70000,100000,rising,3,3,AI-Assisted Biometry & Measurement Tools,Advanced Sonography Specialty Certification,Point-of-Care Ultrasound Proficiency,"AI now auto-populates standard measurements on many scans, but getting a diagnostic-quality image out of a moving probe against a moving patient is still a hands-on skill no model performs. Demand for sonographers keeps growing with imaging volume.",,,,,16,29-2032,2,20,52,32,18,Low
physician-assistant,Physician Assistant,Healthcare,16,Low,110000,150000,rising,4,3,Ambient Clinical Documentation Tools,"Specialty Certification (Surgical, Emergency)",AI-Assisted Diagnostics,"PAs are absorbing the same ambient documentation gains as physicians and NPs, freeing time for exams and procedures rather than replacing them. Demand keeps climbing as health systems lean on PAs to extend physician capacity.",,,,,16,29-1071,1,20,58,42,17,Low
speech-language-pathologist,Speech-Language Pathologist,Healthcare,14,Low,75000,110000,rising,3,3,AI Speech & Voice Analysis Tools,Teletherapy Platform Proficiency,"Specialty Certification (Swallowing, Cognitive-Communication)","AI apps now support standardized scoring and generate practice materials between sessions, but delivering therapy still requires a clinician adjusting technique in real time. School and healthcare demand for SLPs continues to outpace the training pipeline.",,,,,14,29-1127,2,18,50,35,16,Low
veterinary-technician,Veterinary Technician,Healthcare,13,Low,37000,52000,rising,3,3,Veterinary Anesthesia & Monitoring Certification,Practice Management AI Tools,Client Communication & Education,"Veterinary tech work is hands-on animal care with a modest paperwork layer around it, and AI tooling for this specific role is still immature. Corporate consolidation and staffing shortages are bigger near-term forces than automation.",,,,,13,29-2056,2,18,42,28,16,Low
psychiatrist,Psychiatrist,Healthcare,12,Low,220000,300000,rising,3,3,Ambient Clinical Documentation Tools,Telepsychiatry Platform Proficiency,"Subspecialty Certification (Addiction, Child Psychiatry)","AI drafts notes and tracks symptom scales, but diagnosing and treating mental illness still requires a licensed physician building trust with a patient over time. Demand for psychiatric care continues to outstrip the supply of psychiatrists.",,,,,12,29-1223,2,16,50,32,15,Low
radiologic-technologist,Radiologic Technologist,Healthcare,12,Low,55000,80000,stable,3,3,AI Dose-Optimization & QC Tools,"Advanced Modality Certification (CT, MRI)",Radiation Safety Specialization,"AI dose-optimization and image-QC tools are improving fast, but positioning a patient correctly for a diagnostic-quality scan is still a manual skill performed one patient at a time. Cross-training into CT and MRI modalities offers the clearest advancement path.",,,,,12,29-2034,2,16,48,32,15,Low
veterinarian,Veterinarian,Healthcare,12,Low,90000,160000,rising,4,3,AI-Assisted Veterinary Diagnostics,Telehealth Triage Platforms,"Veterinary Specialty Certification (Surgery, Oncology)","AI triage chatbots and imaging tools are starting to handle routine intake and screening in veterinary practices, but surgery and hands-on animal care remain squarely the veterinarian's. Corporate consolidation is a bigger near-term force on the job than AI is.",,,,,12,29-1131,1,16,48,32,15,Low
mental-health-counselor,Mental Health Counselor,Healthcare,11,Low,45000,85000,rising,4,3,Telehealth Therapy Platforms,AI-Assisted Clinical Tools,"Specialized Therapy Modalities (EMDR, DBT)","AI now drafts session notes and scores standard screening tools, cutting real administrative load. What it can't do is sit with a person in crisis, and demand for that keeps outpacing supply.",8,8,9,10,11,21-1014,1,14,50,35,15,Low
physical-therapist,Physical Therapist,Healthcare,11,Low,75000,110000,rising,4,3,Telehealth & Digital PT Platforms,Wearable Tech & Motion Analysis,Specialized Clinical Certifications,"AI handles documentation and outcome tracking, freeing PTs for the hands-on treatment that actually drives recovery. Demand keeps growing faster than the pipeline of new therapists.",8,9,10,12,11,29-1123,1,14,50,38,14,Low
nurse,Nurse (RN),Healthcare,10,Low,60000,110000,rising,4,3,Health Informatics & EHR Optimization,Telehealth & Remote Monitoring,Clinical Leadership,"AI documentation assistants and monitoring alerts cut real charting time, but nursing's core, hands-on assessment, advocacy and rapid judgment at the bedside, sits outside what agents can own. The supply-demand gap keeps widening.",12,14,16,18,10,29-1141,1,12,55,40,12,Low
dentist,Dentist,Healthcare,9,Low,140000,250000,stable,4,3,"AI-Assisted Diagnostic Imaging (Overjet, Pearl)",Practice AI Implementation & DSO Operations,Advanced Restorative & Implant Certification,"AI now flags caries and bone loss on X-rays before the dentist even looks, tightening diagnosis but not touching the drill. The procedures that define the job stay licensed, physical, and human for the foreseeable future.",,,,,9,29-1021,1,12,45,30,12,Low
occupational-therapist,Occupational Therapist,Healthcare,9,Low,80000,115000,rising,3,3,Telehealth & Digital Rehab Platforms,Assistive Technology & Adaptive Equipment Certification,Wearable Motion-Tracking Tools,"AI now handles documentation and tracks recovery metrics, but functional rehabilitation is inherently hands-on work built around a specific patient's body and environment. Demand keeps climbing alongside an aging population and rising chronic-condition rates.",,,,,9,29-1122,2,12,45,30,12,Low
emt-paramedic,EMT/Paramedic,Healthcare,8,Low,35000,58000,rising,3,3,Advanced Paramedic Certification,AI-Assisted Dispatch & Triage Systems,Critical Care Transport Specialization,"Emergency response is in-person, time-critical physical work that AI can support at the margins, dispatch routing, report drafting, but not perform. Paramedic-level certification keeps opening more career ceiling than AI closes.",,,,,8,29-2042,1,10,35,20,15,Low
surgeon,Surgeon,Healthcare,6,Low,280000,450000,stable,3,3,Robotic-Assisted Surgery Proficiency,Subspecialty Surgical Certification,AI Surgical Planning Tools,"AI assists with pre-op planning and drafts the paperwork around a case, but the operation itself is manual, liability-bearing work no model performs. Surgical robotics extend a surgeon's hands; they don't replace the surgeon.",,,,,6,29-1249,2,8,40,25,10,Low
dental-hygienist,Dental Hygienist,Healthcare,5,Low,70000,105000,stable,3,3,Advanced Periodontal Therapy Certification,Practice Scheduling & AI Recall Systems,Patient Education & Motivational Interviewing,"Hygiene work is a licensed physical act performed in a patient's mouth, one of the least AI-exposed jobs in health care. The only automatable slice is scheduling and note templating around the appointment.",,,,,5,29-1292,1,8,30,15,8,Low
phlebotomist,Phlebotomist,Healthcare,5,Low,35000,48000,stable,3,3,Difficult-Draw & Pediatric Phlebotomy Certification,Lab Information System Proficiency,Patient Care & Anxiety Management,"Robotic venipuncture devices remain experimental, so the needle stick stays a manual, licensed act for the foreseeable future. The digital slice of this job, scheduling and logging, is small and already partly automated.",,,,,5,31-9097,2,8,30,15,8,Low
home-health-aide,Home Health Aide,Healthcare,4,Low,28000,38000,rising,3,3,Dementia & Chronic Care Specialization,Care Coordination Technology,Home Health Aide Certification Advancement,"This is about as AI-resistant as work gets: in-person personal care with no digital surface to automate. Demand is rising fast with an aging population, and the constraint is workforce supply, not AI displacement.",,,,,4,31-1121,1,6,25,12,6,Low
contract-reviewer,Contract Reviewer,Legal,69,High,50000,90000,mixed,5,3,"AI Contract Analysis Tools (Kira, Ironclad, Ivo, Spellbook)",Commercial Law Specialization,Legal Operations & Process Design,"AI contract-review tools now clear standard commercial paper in minutes and flag exceptions on their own. Reviewers who remain valuable are the ones who own the playbook, tune the AI, and handle the non-standard deal terms it can't yet judge.",55,60,65,70,69,23-2011,1,72,86,68,62,High
legal-secretary,Legal Secretary,Legal,68,High,38000,65000,mixed,5,3,Legal Technology Administration,Legal Project Coordination,Paralegal Certification,"AI now handles document formatting, scheduling, and routine correspondence directly, cutting deep into the traditional job. Legal secretaries should move toward paralegal certification and legal-technology administration to stay ahead of it.",52,58,63,68,68,43-6012,1,74,78,64,58,High
e-discovery-specialist,E-Discovery Specialist,Legal,67,High,52000,95000,mixed,4,3,"TAR & Generative-AI Review Platform Mastery (Relativity aiR, Everlaw, DISCO)",E-Discovery Project Management & Defensibility Strategy,Certified E-Discovery Specialist (CEDS),Technology-assisted review already does most first-pass document culling at a fraction of linear-review cost. Specialists who remain are defending review methodology in court and making the privilege calls AI still gets wrong.,,,,,67,23-2099,2,70,82,68,62,High
court-reporter,Court Reporter,Legal,63,High,45000,100000,mixed,4,3,Real-Time ASR & Captioning Platform Fluency,Certified Legal Videographer / CART Specialization,Court Technology & Record-Certification Standards,"Speech-to-text has closed most of the accuracy gap for routine depositions and hearings, and cost-pressured courts are piloting digital recording over stenographers. The remaining moat is the legally certified verbatim record: someone accountable for accuracy in complex, multi-speaker, or high-stakes proceedings.",,,,,63,27-3092,1,70,88,52,42,Moderate
title-examiner,Title Examiner,Legal,58,High,42000,68000,declining,4,3,"Automated Title-Search Platform Fluency (Qualia, Endpoint, title-plant AI)",Complex & Commercial Title Underwriting,Title Insurance Underwriting Certification,"Automated title search now clears most standard residential resales in digitized counties end-to-end; examiners increasingly specialize in the contested, rural, or commercial titles automation still can't clear.",,,,,58,23-2093,2,68,62,50,58,High
paralegal,Paralegal,Legal,48,High,45000,80000,stable,5,3,AI Legal Tools & E-Discovery Platforms,Legal Project Management,Specialized Practice Area Knowledge,"AI now handles document review and standard research at scale on its own. Paralegals who master legal AI tools, specialize in complex practice areas, and manage technology-driven workflows will remain valuable.",42,48,53,58,48,23-2011,1,52,74,55,55,High
compliance-analyst,Compliance Analyst,Legal,40,Moderate,60000,100000,rising,4,4,AI Governance & Risk Frameworks,"RegTech Tools & Automation (Compliance.ai, Ncontracts)",Certified Compliance & Ethics Professional (CCEP),"AI now tracks regulatory changes and drafts compliance reports on its own, compressing the routine half of the job. Analysts who specialize in AI-specific regulation (EU AI Act, state AI laws) and cross-border complexity are moving into a high-growth niche instead.",38,42,45,48,40,13-1041,1,48,60,48,45,Moderate
judicial-law-clerk,Judicial Law Clerk,Legal,39,Moderate,48000,95000,stable,4,3,"AI Legal Research Co-Piloting (CoCounsel, Harvey, Westlaw AI)",Judicial Clerkship-to-Practice Career Pathing,Advanced Legal Writing & Bench-Memo Craft,AI research tools now produce a credible first-pass bench memo in minutes; clerks who remain valuable are the ones a judge trusts to catch what the memo got wrong and frame the actual judgment call.,,,,,39,23-1012,2,48,58,40,38,Moderate
lawyer,Lawyer,Legal,31,Moderate,80000,250000,stable,4,3,"AI Legal Research Tools (Westlaw AI, CoCounsel)",Legal Technology Strategy,AI Law & Regulatory Expertise,"AI accelerates research and drafting, making lawyers more productive rather than obsolete. Lawyers who master AI tools and specialize in AI-related law (IP, liability, regulation) are positioned for growth.",22,25,27,30,31,23-1011,1,35,65,50,42,Moderate
administrative-law-judge,Administrative Law Judge,Legal,15,Low,65000,155000,stable,4,3,AI-Assisted Case-File & Medical Record Synthesis,Administrative Law Specialization & Agency Practice,Judicial/Administrative AI Governance & Due-Process Standards,"Case-prep and record summarization are increasingly AI-assisted, especially in high-volume dockets like disability and unemployment hearings, but statute still requires a human officer to weigh credibility and issue the binding decision.",,,,,15,23-1021,2,20,42,25,22,Low
mediator,Mediator,Legal,13,Low,48000,90000,stable,3,3,Online Dispute Resolution (ODR) Platform Fluency,Advanced Mediation & Conflict-Resolution Certification,Complex Multi-Party Negotiation Specialization,"ODR platforms now clear routine e-commerce and small-claims disputes without a human in the loop, but complex mediation still runs on trust and reading a room, territory current agents don't credibly occupy.",,,,,13,23-1022,2,18,38,22,18,Low
judge,Judge,Legal,8,Low,95000,200000,stable,4,3,"AI-Assisted Judicial Research Oversight (CoCounsel, Westlaw AI)",Case-Management Technology Administration,Judicial Ethics & AI Governance in Court Technology,"AI now drafts bench memos and flags precedent for chambers staff, but the requirement for a human judicial officer to weigh credibility and issue binding rulings structurally insulates the bench regardless of AI capability. The real disruption lands on the clerks and researchers who prepare the record a judge reviews, not the judge's own docket.",,,,,8,23-1023,1,12,30,10,8,Low
tutor,Tutor,Education,55,High,25000,60000,mixed,5,3,"AI Tutoring Platforms (Khanmigo, adaptive-practice apps)",Learning Disabilities & Differentiation,Executive Function Coaching,"Free AI tutors now explain concepts and generate practice problems around the clock at high reliability. Human tutors who survive are the ones providing accountability, emotional support, and executive-function coaching AI can't replicate.",38,42,48,55,55,25-3041,1,58,80,62,55,High
instructional-designer,Instructional Designer,Education,49,Moderate,60000,100000,stable,4,3,"AI Course-Creation Tools (Synthesia, Articulate AI)",Learning Science & Experience Design,Immersive Learning Technologies (VR/AR/Simulation),"AI now storyboards and drafts assessments for standard e-learning courses in minutes. Designers who apply learning science, build immersive/simulation experiences, and tie training to business outcomes keep the strategic seat.",35,38,43,48,49,25-9031,1,55,70,55,50,Moderate
corporate-trainer,Corporate Trainer,Education,47,Moderate,55000,95000,stable,4,3,"AI Training-Content Pipelines (Synthesia, generative authoring tools)",Organizational Change Management,Live Facilitation & Workshop Design,"AI now drafts training decks, quizzes, and completion reports end to end. Trainers who lead live facilitation, drive organizational change, and design AI-upskilling programs are the ones employers still pay for.",32,36,40,45,47,13-1151,1,52,70,60,48,Moderate
academic-advisor,Academic Advisor,Education,41,Moderate,45000,78000,stable,4,3,"AI-Assisted Degree Audit & Advising Platforms (EAB Navigate, Starfish)",Career Counseling & Goal-Alignment Methods,Student Success Case Management,"AI-assisted degree audits and chatbots now field most routine scheduling and FAQ traffic. Advisors who shift toward career coaching, case management for at-risk students, and the trust-based conversations AI can't fake stay essential.",28,32,35,38,41,21-1012,1,48,62,50,42,Moderate
esl-teacher,ESL Teacher,Education,33,Low,44000,78000,stable,4,3,"AI Language-Learning Platforms (adaptive practice, real-time translation)",Communicative Competence Assessment,TESOL/TEFL Certification,AI language apps now handle vocabulary drills and pronunciation practice well. ESL teachers who assess real communicative competence and teach cultural context remain the harder-to-automate part of the job.,,,,,33,25-3011,2,38,72,45,35,Low
curriculum-coordinator,Curriculum Coordinator,Education,29,Low,58000,98000,stable,3,3,AI Curriculum-Alignment & Mapping Tools,Teacher Coaching & Professional Development Design,Program Evaluation Methods,AI now handles standards-alignment mapping and pacing-guide drafting quickly. Coordinators who coach teachers through real classroom adoption keep the job's most valuable part.,,,,,29,25-9031,2,36,58,40,32,Low
